store_id,store_name,region,date,transactions,revenue,avg_basket_value,discount_pct,footfall,stockout_flag
ST-10,MAGNOLIA SQUARE,SOUTH,2026-03-07,75.0,4438.76,47.71,38.71096522,374,False
ST-13,HIGHLAND COURT,WEST,2026-05-27,60.0,4040.14,67.12,15.55684393,528,False
ST-16,REDWOOD STATION,WEST,2026-05-24,74.0,7132.47,105.29,5.214770493,576,True
ST-14,GOLDEN VALLEY,WEST,2026-04-20,49.0,9117.12,167.74,4.864324242,725,True
ST-04,SILVERLINE MALL,NORTH,2026-03-04,58.0,2733.73,2796.6,7.926849185,642,False
ST-12,BAYFRONT COMMONS,SOUTH,2026-05-05,48.0,5827.13,123.07,0.3279304085,768,False
ST-08,PALM TERRACE,SOUTH,2026-05-20,70.0,6733.38,86.73,25.27430694,792,False
ST-11,WILLOW CREEK,SOUTH,2026-03-02,50.0,8701.5,184.43,38.45936978,534,True
ST-18,ASHBROOK PLAZA,WEST,2026-03-03,62.0,4037.4,61.66,11.45260115,966,False
ST-01,RIVERSIDE PLAZA,NORTH,2026-05-05,51.0,3676.65,75.91,30.50360368,622,False
ST-18,ASHBROOK PLAZA,WEST,2026-05-06,70.0,2213.0,33.37,34.06381574,681,False
ST-04,SILVERLINE MALL,NORTH,2026-05-14,58.0,5060.62,79.53,24.64348968,473,False
ST-05,EASTGATE CENTER,NORTH,2026-02-05,42.0,3759.46,98.04,0.2200469616,591,True
ST-18,ASHBROOK PLAZA,WEST,2026-04-14,70.0,2214.96,33.6,29.58100502,756,False
ST-17,SUMMIT CORNER,WEST,2026-04-24,50.0,5645.34,106.08,3.413050137,940,True
ST-15,PINECREST MALL,WEST,2026-05-23,86.0,3492.18,43.34,3.585400077,522,True
ST-04,SILVERLINE MALL,NORTH,2026-05-22,50.0,3341.0,65.17,13.31299449,625,True
ST-05,EASTGATE CENTER,NORTH,2026-04-23,43.0,8393.06,179.0,12.99026575,530,False
ST-03,MAPLE JUNCTION,NORTH,2026-04-27,87.0,3248.87,34.31,2.92165099,547,False
ST-06,CEDAR CROSSING,NORTH,2026-04-17,68.0,5400.0,82.39,8.019766097,456,False
ST-02,HARBOR POINT,NORTH,2026-04-04,59.0,5365.36,89.55,37.20422077,589,False
ST-15,PINECREST MALL,WEST,2026-05-02,75.0,1711.58,24.15,7.722877243,478,True
ST-14,GOLDEN VALLEY,WEST,2026-04-23,63.0,8892.93,147.19,23.74618088,278,True
ST-09,CORAL BAY OUTLET,SOUTH,2026-04-14,77.0,13995.56,175.07,1.397771109,374,False
ST-13,HIGHLAND COURT,WEST,2026-03-04,70.0,4064.5,60.18,31.85310173,714,False
ST-04,SILVERLINE MALL,NORTH,2026-04-16,62.0,3109.67,46.17,32.87481852,459,True
ST-04,SILVERLINE MALL,NORTH,2026-03-02,53.0,2200.0,40.78,7.508636898,636,False
ST-03,MAPLE JUNCTION,NORTH,2026-05-11,57.0,10522.93,202.91,11.80240361,729,False
ST-15,PINECREST MALL,WEST,2026-05-19,56.0,5365.0,100.73,16.11830808,552,False
ST-02,HARBOR POINT,NORTH,2026-05-18,41.0,3074.0,76.89,14.13158198,808,True
ST-11,WILLOW CREEK,SOUTH,2026-03-19,50.0,4536.3,95.34,6.14558664,727,True
ST-15,PINECREST MALL,WEST,2026-04-24,67.0,3878.63,61.37,7.51098163,662,False
ST-18,ASHBROOK PLAZA,WEST,2026-04-23,56.0,2602.01,42.09,32.72849538,757,False
ST-08,PALM TERRACE,SOUTH,2026-04-20,60.0,8624.87,156.15,17.36386505,687,False
ST-01,RIVERSIDE PLAZA,NORTH,2026-03-30,64.0,3017.27,42.77,16.73600177,652,True
ST-13,HIGHLAND COURT,WEST,2026-05-23,51.0,7817.79,157.22,27.23866793,594,False
ST-02,HARBOR POINT,NORTH,2026-05-23,51.0,5588.0,76.17,6.474774425,726,False
ST-17,SUMMIT CORNER,WEST,2026-03-14,45.0,5190.38,203.46,11.4314923,712,False
ST-01,RIVERSIDE PLAZA,NORTH,2026-03-31,75.0,5656.61,78.99,35.45611547,483,False
ST-11,WILLOW CREEK,SOUTH,2026-03-17,94.0,5820.11,65.3,0.02765023655,705,True
ST-07,SUNSET BOULEVARD,SOUTH,2026-04-18,36.0,3837.67,114.76,1.507587829,505,False
ST-12,BAYFRONT COMMONS,SOUTH,2026-03-24,52.0,5648.15,117.49,0.0,573,False
ST-18,ASHBROOK PLAZA,WEST,2026-03-23,62.0,2619.0,39.92,33.04850054,428,False
ST-04,SILVERLINE MALL,NORTH,2026-03-20,84.0,2739.81,32.37,32.59101394,766,False
ST-08,PALM TERRACE,SOUTH,2026-05-16,73.0,2767.15,41.57,3.785756492,563,True
ST-08,PALM TERRACE,SOUTH,2026-03-07,54.0,2863.6,48.06,30.76813126,449,False
ST-11,WILLOW CREEK,SOUTH,2026-05-18,71.0,14158.45,183.9,38.09965516,586,False
ST-17,SUMMIT CORNER,WEST,2026-03-26,50.0,4993.88,103.8,6.3691129,933,False
ST-13,HIGHLAND COURT,WEST,2026-04-28,47.0,4733.31,98.99,29.51359284,481,False
ST-17,SUMMIT CORNER,WEST,2026-03-21,41.0,3065.13,71.09,33.89054482,446,False
ST-08,PALM TERRACE,SOUTH,2026-05-15,70.0,4570.67,65.34,4.729669216,719,False
ST-11,WILLOW CREEK,SOUTH,2026-03-16,40.0,5189.33,126.38,24.98208922,540,False
ST-03,MAPLE JUNCTION,NORTH,2026-05-21,81.0,7516.22,93.0,32.46386978,472,True
ST-10,MAGNOLIA SQUARE,SOUTH,2026-04-04,57.0,4808.37,87.76,9.995167182,347,True
ST-17,SUMMIT CORNER,WEST,2026-03-07,66.0,6632.67,96.13,32.0898601,469,False
ST-09,CORAL BAY OUTLET,SOUTH,2026-05-27,55.0,14698.87,276.69,3.003047821,902,False
ST-01,RIVERSIDE PLAZA,NORTH,2026-03-24,63.0,5283.3,99.74,4.739143089,840,False
ST-12,BAYFRONT COMMONS,SOUTH,2026-03-11,59.0,7706.25,124.84,1.032194423,836,False
ST-01,RIVERSIDE PLAZA,NORTH,2026-04-02,66.0,6798.7,105.91,0.429105799,496,False
ST-01,RIVERSIDE PLAZA,NORTH,2026-05-10,56.0,3844.06,63.05,15.77926072,586,True
ST-02,HARBOR POINT,NORTH,2026-04-15,60.0,2725.74,44.41,13.81533573,690,False
ST-18,ASHBROOK PLAZA,WEST,2026-05-26,64.0,2742.06,39.59,26.7865392,660,False
ST-14,GOLDEN VALLEY,WEST,2026-05-07,56.0,8140.0,144.32,20.6445474,606,True
ST-15,PINECREST MALL,WEST,2026-02-03,64.0,2595.1,44.42,23.22216199,392,True
ST-12,BAYFRONT COMMONS,SOUTH,2026-02-05,59.0,5173.03,81.42,14.51708671,482,False
ST-02,HARBOR POINT,NORTH,2026-03-10,80.0,5491.41,65.43,10.96537575,679,False
ST-12,BAYFRONT COMMONS,SOUTH,2026-04-13,78.0,13706.2,171.06,39.83113273,744,False
ST-05,EASTGATE CENTER,NORTH,2026-03-24,68.0,2620.54,38.32,13.92784873,355,False
ST-15,PINECREST MALL,WEST,2026-05-10,49.0,2284.72,43.11,33.30400151,743,False
ST-05,EASTGATE CENTER,NORTH,2026-04-15,56.0,3298.25,62.5,21.70752178,448,True
ST-06,CEDAR CROSSING,NORTH,2026-05-24,36.0,6702.05,182.58,0.0,563,True
ST-09,CORAL BAY OUTLET,SOUTH,2026-03-26,81.0,4601.0,53.79,0.0,709,False
ST-15,PINECREST MALL,WEST,2026-04-09,72.0,2708.34,38.72,34.97082959,615,True
ST-01,RIVERSIDE PLAZA,NORTH,2026-04-29,54.0,6629.63,111.72,13.69614707,661,False
ST-03,MAPLE JUNCTION,NORTH,2026-03-24,69.0,5661.22,88.86,18.19700909,677,False
ST-01,RIVERSIDE PLAZA,NORTH,2026-05-09,42.0,6025.0,133.52,0.0,487,True
ST-10,MAGNOLIA SQUARE,SOUTH,2026-04-03,84.0,7463.25,80.66,33.30727464,615,False
ST-18,ASHBROOK PLAZA,WEST,2026-04-13,76.0,2895.63,40.36,11.00589442,428,True
ST-17,SUMMIT CORNER,WEST,2026-03-09,67.0,7592.87,110.11,27.36849341,902,True
ST-05,EASTGATE CENTER,NORTH,2026-05-06,58.0,3810.92,62.13,39.73862761,474,True
ST-15,PINECREST MALL,WEST,2026-04-22,48.0,4439.86,98.12,33.52232175,661,True
ST-10,MAGNOLIA SQUARE,SOUTH,2026-04-24,61.0,6679.83,115.0,22.9240069,536,False
ST-03,MAPLE JUNCTION,NORTH,2026-05-03,63.0,7608.29,117.72,17.84126877,722,True
ST-17,SUMMIT CORNER,WEST,2026-03-24,73.0,7775.82,98.82,21.87019708,655,False
ST-07,SUNSET BOULEVARD,SOUTH,2026-03-05,57.0,9570.0,180.9,18.49735651,332,True
ST-05,EASTGATE CENTER,NORTH,2026-04-18,57.0,4610.53,84.49,15.22651711,612,True
ST-11,WILLOW CREEK,SOUTH,2026-05-08,65.0,3466.81,53.18,2.964522653,463,True
ST-03,MAPLE JUNCTION,NORTH,2026-05-07,55.0,7247.56,142.51,3.819336478,583,False
ST-14,GOLDEN VALLEY,WEST,2026-01-03,36.0,6184.0,157.91,32.00284029,912,True
ST-04,SILVERLINE MALL,NORTH,2026-03-06,76.0,5580.0,68.47,14.56778838,867,False
ST-14,GOLDEN VALLEY,WEST,2026-04-03,62.0,5952.86,6355.88,36.21174339,443,False
ST-05,EASTGATE CENTER,NORTH,2026-05-09,62.0,9013.73,140.07,18.35376746,569,False
ST-07,SUNSET BOULEVARD,SOUTH,2026-05-07,61.0,6061.81,100.51,7.000679016,446,False
ST-06,CEDAR CROSSING,NORTH,2026-03-04,44.0,3427.91,82.13,15.31755942,547,True
ST-17,SUMMIT CORNER,WEST,2026-04-03,56.0,3109.0,58.04,33.82116137,792,False
ST-05,EASTGATE CENTER,NORTH,2026-04-30,52.0,3723.32,75.7,28.20649709,652,False
ST-18,ASHBROOK PLAZA,WEST,2026-05-28,72.0,2143.4,31.9,24.98984372,731,False
ST-09,CORAL BAY OUTLET,SOUTH,2026-04-22,56.0,6002.0,100.9,14.83234407,559,False
ST-08,PALM TERRACE,SOUTH,2026-05-21,78.0,3182.85,42.46,29.603653,614,False
ST-05,EASTGATE CENTER,NORTH,2026-02-03,81.0,3916.8,44.57,27.51307318,596,False
ST-15,PINECREST MALL,WEST,2026-05-27,38.0,2741.92,65.94,23.90306631,491,False
ST-07,SUNSET BOULEVARD,SOUTH,2026-05-02,47.0,16688.9,345.82,5.600147559,555,False
ST-02,HARBOR POINT,NORTH,2026-05-12,59.0,8455.02,152.47,1.285975804,688,False
ST-14,GOLDEN VALLEY,WEST,2026-03-12,76.0,6155.7,87.89,8.620033977,811,False
ST-09,CORAL BAY OUTLET,SOUTH,2026-04-27,57.0,6102.68,103.85,9.692708757,549,False
ST-03,MAPLE JUNCTION,NORTH,2026-03-06,53.0,9248.93,161.03,26.37256784,514,False
ST-14,GOLDEN VALLEY,WEST,2026-04-05,63.0,4579.06,71.45,25.50224826,365,False
ST-11,WILLOW CREEK,SOUTH,2026-05-23,57.0,3935.0,64.9,24.39644149,574,False
ST-18,ASHBROOK PLAZA,WEST,2026-04-16,61.0,3296.04,58.7,37.6320496,191,False
ST-16,REDWOOD STATION,WEST,2026-04-07,30.0,3951.33,125.94,38.68396691,711,False
ST-05,EASTGATE CENTER,NORTH,2026-04-08,62.0,4262.25,69.54,5.015389563,647,False
ST-05,EASTGATE CENTER,NORTH,2026-03-22,58.0,6708.92,123.69,23.16175815,484,True
ST-03,MAPLE JUNCTION,NORTH,2026-04-29,53.0,6673.11,126.46,7.879193013,608,False
ST-13,HIGHLAND COURT,WEST,2026-03-24,40.0,6411.49,155.49,0.2632548928,539,False
ST-01,RIVERSIDE PLAZA,NORTH,2026-04-19,73.0,5283.3,87.05,10.92748766,658,False
ST-13,HIGHLAND COURT,WEST,2026-04-22,46.0,6660.12,135.53,14.13673471,474,False
ST-07,SUNSET BOULEVARD,SOUTH,2026-04-03,57.0,11246.34,193.04,28.44441505,663,False
ST-06,CEDAR CROSSING,NORTH,2026-05-19,66.0,5278.76,81.84,26.37057228,784,False
ST-15,PINECREST MALL,WEST,2026-04-05,84.0,3949.35,48.81,31.40565437,609,True
ST-05,EASTGATE CENTER,NORTH,2026-03-23,30.0,5929.26,212.69,18.0713521,401,False
ST-12,BAYFRONT COMMONS,SOUTH,2026-04-15,69.0,13496.74,188.82,38.81226389,557,False
ST-06,CEDAR CROSSING,NORTH,2026-06-04,70.0,6308.85,98.86,0.0,828,False
ST-14,GOLDEN VALLEY,WEST,2026-04-28,74.0,4055.88,59.8,1.228672841,664,False
ST-04,SILVERLINE MALL,NORTH,2026-05-02,80.0,3472.0,39.93,21.48748617,412,False
ST-03,MAPLE JUNCTION,NORTH,2026-05-04,29.0,8713.82,320.2,33.9862881,479,False
ST-15,PINECREST MALL,WEST,2026-04-21,64.0,4143.0,70.96,22.86706612,740,False
ST-05,EASTGATE CENTER,NORTH,2026-03-15,89.0,4873.12,53.61,11.59626513,674,False
ST-07,SUNSET BOULEVARD,SOUTH,2026-05-20,35.0,3807.0,117.28,35.66868256,602,False
ST-11,WILLOW CREEK,SOUTH,2026-08-04,69.0,3545.98,48.45,27.76967895,402,False
ST-14,GOLDEN VALLEY,WEST,2026-01-05,54.0,4980.11,89.96,0.9052114417,679,False
ST-16,REDWOOD STATION,WEST,2026-05-02,42.0,4506.92,102.43,39.25642169,659,False
ST-17,SUMMIT CORNER,WEST,2026-04-21,73.0,4352.96,54.14,9.988218929,718,False
ST-09,CORAL BAY OUTLET,SOUTH,2026-05-05,85.0,7087.99,77.19,0.1802439024,376,False
ST-01,RIVERSIDE PLAZA,NORTH,2026-05-13,65.0,3312.7,46.54,0.04269860091,691,False
ST-02,HARBOR POINT,NORTH,2026-03-20,102.0,4501.98,43.89,19.96776902,631,False
ST-08,PALM TERRACE,SOUTH,2026-04-12,58.0,9965.37,155.85,36.23453422,733,True
ST-05,EASTGATE CENTER,NORTH,2026-05-07,51.0,9365.37,193.52,27.04602103,386,True
ST-03,MAPLE JUNCTION,NORTH,2026-05-19,30.0,14250.38,439.45,22.1405674,645,True
ST-16,REDWOOD STATION,WEST,2026-04-06,39.0,5322.13,145.31,28.90793317,428,False
ST-08,PALM TERRACE,SOUTH,2026-03-14,43.0,2375.07,58.07,37.95450219,753,False
ST-08,PALM TERRACE,SOUTH,2026-05-03,54.0,2774.78,55.35,0.0,555,False
ST-03,MAPLE JUNCTION,NORTH,2026-04-30,38.0,3610.0,104.32,39.85060252,699,False
ST-01,RIVERSIDE PLAZA,NORTH,2026-04-21,53.0,6227.55,110.44,34.35931442,320,False
ST-01,RIVERSIDE PLAZA,NORTH,2026-05-16,51.0,6981.39,136.85,19.74688305,481,False
ST-06,CEDAR CROSSING,NORTH,2026-04-13,54.0,3874.84,73.54,32.06699215,663,True
ST-14,GOLDEN VALLEY,WEST,2026-03-24,28.0,3646.0,121.23,27.08129813,1033,False
ST-15,PINECREST MALL,WEST,2026-03-03,53.0,1835.43,31.6,10.77205648,803,False
ST-08,PALM TERRACE,SOUTH,2026-05-11,56.0,3511.5,67.87,38.83442248,269,False
ST-16,REDWOOD STATION,WEST,2026-03-27,59.0,7748.4,137.82,26.79550613,371,False
ST-07,SUNSET BOULEVARD,SOUTH,2026-05-29,59.0,21721.54,398.56,36.71866527,465,False
ST-02,HARBOR POINT,NORTH,2026-04-03,58.0,13008.95,226.4,0.0,433,False
ST-04,SILVERLINE MALL,NORTH,2026-05-23,56.0,3090.5,55.34,22.17799528,629,True
ST-08,PALM TERRACE,SOUTH,2026-05-17,60.0,2114.33,37.51,32.35364565,530,False
ST-08,PALM TERRACE,SOUTH,2026-04-04,68.0,4531.13,72.83,30.70563421,696,False
ST-05,EASTGATE CENTER,NORTH,2026-04-25,82.0,3078.4,34.72,37.05133284,737,True
ST-11,WILLOW CREEK,SOUTH,2026-04-07,26.0,10294.17,397.92,0.0,602,False
ST-06,CEDAR CROSSING,NORTH,2026-05-04,75.0,3264.69,45.35,35.27810087,591,True
ST-13,HIGHLAND COURT,WEST,2026-05-29,66.0,7105.2,110.38,34.62862634,613,False
ST-11,WILLOW CREEK,SOUTH,2026-03-10,96.0,12054.82,128.9,15.61615398,661,False
ST-18,ASHBROOK PLAZA,WEST,2026-03-14,50.0,1436.07,30.82,25.98910644,882,False
ST-13,HIGHLAND COURT,WEST,2026-04-30,73.0,5638.0,81.11,14.65630424,593,True
ST-18,ASHBROOK PLAZA,WEST,2026-04-19,47.0,2176.53,43.68,16.9236637,488,True
ST-01,RIVERSIDE PLAZA,NORTH,2026-05-07,81.0,5274.13,70.12,26.53813029,558,False
ST-05,EASTGATE CENTER,NORTH,2026-05-13,53.0,4289.48,85.72,38.23937077,509,False
ST-15,PINECREST MALL,WEST,2026-05-28,74.0,4198.41,59.24,38.11236563,501,False
ST-02,HARBOR POINT,NORTH,2026-04-21,78.0,8827.29,120.76,3.557149722,185,True
ST-13,HIGHLAND COURT,WEST,2026-03-08,55.0,5043.15,78.24,7.427052241,745,True
ST-16,REDWOOD STATION,WEST,2026-05-08,62.0,4699.01,82.73,11.69929576,728,False
ST-10,MAGNOLIA SQUARE,SOUTH,2026-04-05,45.0,2375.81,50.73,33.81143659,752,False
ST-06,CEDAR CROSSING,NORTH,2026-04-15,82.0,6699.02,86.33,13.11855342,679,False
ST-13,HIGHLAND COURT,WEST,2026-03-26,66.0,5309.0,79.63,0.0,660,False
ST-13,HIGHLAND COURT,WEST,2026-03-06,51.0,3121.29,61.72,35.59031378,902,True
ST-07,SUNSET BOULEVARD,SOUTH,2026-03-12,55.0,11180.22,187.54,13.8232781,838,True
ST-08,PALM TERRACE,SOUTH,2026-05-04,47.0,6436.56,134.34,2.198415526,783,True
ST-15,PINECREST MALL,WEST,2026-02-04,40.0,3974.0,101.46,19.90430433,718,False
ST-07,SUNSET BOULEVARD,SOUTH,2026-03-09,83.0,14963.88,197.24,12.56773824,706,True
ST-13,HIGHLAND COURT,WEST,2026-03-22,36.0,2805.0,77.32,17.98398737,211,False
ST-15,PINECREST MALL,WEST,2026-04-28,76.0,2309.9,32.38,13.88515638,552,False
ST-06,CEDAR CROSSING,NORTH,2026-05-08,67.0,3615.67,55.72,16.75736662,694,False
ST-12,BAYFRONT COMMONS,SOUTH,2026-03-01,51.0,4136.42,80.85,15.15495546,725,False
ST-16,REDWOOD STATION,WEST,2026-04-21,80.0,12336.35,163.76,27.24547509,434,True
ST-05,EASTGATE CENTER,NORTH,2026-04-26,86.0,2794.1,33.16,26.66419069,678,False
ST-13,HIGHLAND COURT,WEST,2026-04-05,62.0,5373.29,85.15,35.54240114,719,True
ST-06,CEDAR CROSSING,NORTH,2026-03-15,57.0,2939.25,50.89,31.17366604,663,True
ST-12,BAYFRONT COMMONS,SOUTH,2026-05-23,60.0,10690.02,182.49,9.442684848,839,False
ST-08,PALM TERRACE,SOUTH,2026-03-21,81.0,3464.98,46.52,32.65159081,449,False
ST-14,GOLDEN VALLEY,WEST,2026-01-04,59.0,8635.43,142.06,15.40041108,524,True
ST-18,ASHBROOK PLAZA,WEST,2026-05-19,84.0,2745.7349999999997,26.14,32.17200863,792,False
ST-14,GOLDEN VALLEY,WEST,2026-04-29,87.0,4740.82,59.02,23.34518187,617,False
ST-17,SUMMIT CORNER,WEST,2026-03-06,54.0,5028.06,99.26,22.24833771,650,False
ST-09,CORAL BAY OUTLET,SOUTH,2026-04-04,50.0,3331.28,61.34,8.104883947,460,False
ST-12,BAYFRONT COMMONS,SOUTH,2026-04-06,48.0,4308.83,83.43,5.80896015,592,True
ST-17,SUMMIT CORNER,WEST,2026-05-19,47.0,3991.49,86.69,24.49724075,502,False
ST-11,WILLOW CREEK,SOUTH,2026-05-22,58.0,9778.61,181.24,30.37919399,636,True
ST-07,SUNSET BOULEVARD,SOUTH,2026-05-11,58.0,6613.42,105.76,0.0,666,False
ST-06,CEDAR CROSSING,NORTH,2026-04-01,53.0,3019.63,52.35,34.55854786,393,False
ST-15,PINECREST MALL,WEST,2026-04-08,83.0,2791.68,34.99,38.78361977,650,False
ST-04,SILVERLINE MALL,NORTH,2026-05-21,54.0,2710.38,48.85,6.336548538,559,False
ST-09,CORAL BAY OUTLET,SOUTH,2026-03-01,55.0,5939.45,106.76,3.313283719,592,False
