loan_id,loan_amount,tenure_months,interest_rate,borrower_age,monthly_income,actual_default,model_flag,risk_score,actual_default_clean,model_flag_clean
LN-101413,60777.81992,6,13.43,62,22029.91841,FALSE,No,0.412,0,0
LN-100638,258399.8923,12,11.62,28,32568.67606,No,No,0.227,0,0
LN-101183,114338.0322,18,14.16,42,24045.56088,0,FALSE,0.266,0,0
LN-101665,60919.14875,18,10.14,26,49252.29534,N,FALSE,0.211,0,0
LN-102068,104225.1581,12,20.41,48,20588.11472,FALSE,N,0.383,0,0
LN-100789,116603.653,18,15.68,53,23606.84077,FALSE,N,0.453,0,0
LN-101989,87640.16155,12,12.31,55,27861.1437,No,N,0.484,0,0
LN-101582,67409.443,24,17.42,50,56361.27919,FALSE,FALSE,0.29,0,0
LN-101029,87587.32314,24,15.08,64,31206.75279,1,Yes,0.76,1,1
LN-101434,66426.97342,36,10.25,41,47075.44765,FALSE,No,0.37,0,0
LN-100610,177953.0,24,16.0,23,33523.84133,N,FALSE,0.182,0,0
LN-100640,83585.0,36,17.1,50,75067.65574,Yes,Y,0.62,1,1
LN-100718,99575.21453,12,16.51,23,18088.6199,N,N,0.245,0,0
LN-101860,164181.1934,6,12.39,not disclosed,21035.33704,N,No,0.533,0,0
LN-101851,103969.0,36,13.02,52,22544.39249,N,No,0.275,0,0
LN-100890,119007.1899,36,11.77,60,31242.10158,FALSE,No,0.481,0,0
LN-101528,90888.41147,12,18.43,23,49402.08361,FALSE,FALSE,0.387,0,0
LN-100716,118777.0,18,10.77,28,31988.72412,N,FALSE,0.269,0,0
LN-101324,145551.3467,18,15.54,45,47735.34244,FALSE,FALSE,0.366,0,0
LN-100523,35590.37868,48,14.64,34,29136.78023,FALSE,N,0.309,0,0
LN-101972,38965.26319,12,13.89,32,40754.16512,0,No,0.426,0,0
LN-102105,69690.56062,12,17.04,34,50002.30142,N,FALSE,0.473,0,0
LN-100200,135230.9964,12,19.09,64,32304.65099,No,TRUE,0.655,0,1
LN-100400,118392.3977,12,9.66,63,27207.16517,FALSE,0,0.296,0,0
LN-102106,108619.0,6,15.14,56,48656.76837,1,Y,0.667,1,1
LN-101774,93914.12684,24,22.95,57,29422.00784,0,Yes,0.634,0,1
LN-101509,77381.51514,36,22.17,64,31530.15352,No,No,0.452,0,0
LN-100450,140934.0082,48,10.88,34,31561.28918,FALSE,FALSE,0.36,0,0
LN-101269,70175.93642,36,18.55,47,not disclosed,0,0,0.334,0,0
LN-100026,117719.118,48,15.73,23,30861.88571,FALSE,No,0.261,0,0
LN-101344,65859.34382,18,16.6,38,69314.58867,No,FALSE,0.368,0,0
LN-100746,81940.0,36,18.14,48,15278.69738,N,0,0.451,0,0
LN-101205,112949.0,36,13.52,28,38244.20291,No,FALSE,0.421,0,0
LN-101313,104570.0,18,12.07,51,25681.8419,N,FALSE,0.312,0,0
LN-101873,53564.07433,24,13.83,56,24547.54026,No,FALSE,0.241,0,0
LN-102147,65568.52144,24,12.21,62,21193.59325,No,N,0.513,0,0
LN-100467,53739.71396,24,13.09,24,31142.52221,FALSE,FALSE,0.377,0,0
LN-102371,53022.53614,12,14.84,33,39036.07479,No,No,0.452,0,0
LN-100971,63301.75213,12,14.84,40,19665.18191,N,FALSE,0.542,0,0
LN-101775,97416.86671,12,13.73,29,21308.3914,FALSE,FALSE,0.384,0,0
LN-100147,80809.12001,24,16.05,36,57458.3734,No,N,0.248,0,0
LN-101834,132859.0098,6,14.08,26,38649.22225,No,No,0.198,0,0
LN-100206,53099.74632,24,11.51,32,21019.69059,TRUE,FALSE,0.529,1,0
LN-101831,58875.86856,12,21.42,35,32220.16595,0,N,0.618,0,0
LN-101057,131293.9024,12,15.75,48,41323.19951,N,FALSE,0.453,0,0
LN-102172,68764.49871,24,15.43,-1,29382.77292,FALSE,FALSE,0.359,0,0
LN-101120,64074.36236,12,15.86,49,20810.19768,No,FALSE,0.327,0,0
LN-100927,140348.386,18,14.65,25,32526.40603,No,FALSE,0.4,0,0
LN-102057,74882.11793,24,14.85,36,36334.04514,No,FALSE,0.31,0,0
LN-101953,125224.543,24,12.19,23,52765.78414,Y,Y,0.796,1,1
LN-100372,151497.0,12,14.54,49,35522.25237,FALSE,FALSE,0.433,0,0
LN-101390,79860.68616,6,16.32,53,37210.26081,FALSE,N,0.376,0,0
LN-100561,83564.31798,18,12.52,36,37351.54351,No,0,0.501,0,0
LN-101517,94600.21615,6,10.45,52,24771.77518,FALSE,N,0.359,0,0
LN-101653,74434.82255,48,17.42,62,51844.56793,N,N,0.39,0,0
LN-100807,74231.82662,12,18.06,43,34922.40604,N,N,0.528,0,0
LN-102316,42750.96312,18,12.74,38,95455.91249,FALSE,N,0.423,0,0
LN-102233,73272.80449,18,14.27,36,31573.76644,FALSE,0,0.022,0,0
LN-100977,82321.52648,6,21.17,64,24525.57392,No,N,0.347,0,0
